Collision_ID,Timestamp,Primary_Drone_ID,Secondary_Drone_ID,Distance,Primary_Location_X,Primary_Location_Y,Primary_Location_Z,Secondary_Location_X,Secondary_Location_Y,Secondary_Location_Z
1,3.00,Primary,C,1.98,3.00,3.00,8.00,3.80,4.80,8.20
2,3.10,Primary,C,1.92,3.10,3.10,8.10,3.86,4.86,8.24
3,3.20,Primary,C,1.87,3.20,3.20,8.20,3.92,4.92,8.28
4,3.30,Primary,C,1.81,3.30,3.30,8.30,3.98,4.98,8.32
5,3.40,Primary,C,1.76,3.40,3.40,8.40,4.04,5.04,8.36
6,3.50,Primary,C,1.71,3.50,3.50,8.50,4.10,5.10,8.40
7,3.60,Primary,C,1.67,3.60,3.60,8.60,4.16,5.16,8.44
8,3.70,Primary,C,1.62,3.70,3.70,8.70,4.22,5.22,8.48
9,3.80,Primary,C,1.58,3.80,3.80,8.80,4.28,5.28,8.52
10,3.90,Primary,C,1.54,3.90,3.90,8.90,4.34,5.34,8.56
11,4.00,Primary,C,1.51,4.00,4.00,9.00,4.40,5.40,8.60
12,4.10,Primary,C,1.48,4.10,4.10,9.10,4.46,5.46,8.64
13,4.20,Primary,C,1.45,4.20,4.20,9.20,4.52,5.52,8.68
14,4.30,Primary,C,1.43,4.30,4.30,9.30,4.58,5.58,8.72
15,4.40,Primary,C,1.42,4.40,4.40,9.40,4.64,5.64,8.76
16,4.50,Primary,C,1.40,4.50,4.50,9.50,4.70,5.70,8.80
17,4.60,Primary,C,1.40,4.60,4.60,9.60,4.76,5.76,8.84
18,4.70,Primary,C,1.39,4.70,4.70,9.70,4.82,5.82,8.88
19,4.80,Primary,C,1.40,4.80,4.80,9.80,4.88,5.88,8.92
20,4.90,Primary,C,1.40,4.90,4.90,9.90,4.94,5.94,8.96
21,5.00,Primary,C,1.41,5.00,5.00,10.00,5.00,6.00,9.00
22,5.10,Primary,C,1.43,5.10,5.10,10.10,5.06,6.06,9.04
23,5.20,Primary,C,1.45,5.20,5.20,10.20,5.12,6.12,9.08
24,5.30,Primary,C,1.48,5.30,5.30,10.30,5.18,6.18,9.12
25,5.40,Primary,C,1.51,5.40,5.40,10.40,5.24,6.24,9.16
26,5.50,Primary,C,1.54,5.50,5.50,10.50,5.30,6.30,9.20
27,5.60,Primary,C,1.58,5.60,5.60,10.60,5.36,6.36,9.24
28,5.70,Primary,C,1.62,5.70,5.70,10.70,5.42,6.42,9.28
29,5.80,Primary,C,1.66,5.80,5.80,10.80,5.48,6.48,9.32
30,5.90,Primary,C,1.71,5.90,5.90,10.90,5.54,6.54,9.36
31,6.00,Primary,C,1.75,6.00,6.00,11.00,5.60,6.60,9.40
32,6.10,Primary,C,1.81,6.10,6.10,11.10,5.66,6.66,9.44
33,6.20,Primary,C,1.86,6.20,6.20,11.20,5.72,6.72,9.48
34,6.30,Primary,C,1.92,6.30,6.30,11.30,5.78,6.78,9.52
35,6.40,Primary,C,1.97,6.40,6.40,11.40,5.84,6.84,9.56
